Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.32282918876503525,1.0817965520324333,-0.4884175264145743,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.0,532000000.0,-0.3061787944267076,1.0821342882348242,-0.48869047998525095,0,404Coin
1337,X13,PoW/PoS,29279424623.0,314159000000.0,2.320357328363955,1.7276768300839365,-0.5890109432781819,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.150178021131524,-1.3410750974102814,0.12076040514895851,3,Bitcoin
ETH,Ethash,PoW,107684222.7,0.0,-0.16779403467424597,-2.1045488753019375,0.29498956290648604,3,Ethereum
LTC,Scrypt,PoW,63039243.3,84000000.0,-0.1580148981915072,-1.088711029534097,0.010772902377843879,3,Litecoin
DASH,X11,PoW/PoS,9031294.376,22000000.0,-0.39993916477441266,1.1731831667374477,-0.48623032838829927,0,Dash
XMR,CryptoNight-V7,PoW,17201143.14,0.0,-0.14558925144623863,-2.237722421632205,0.38654750041279445,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.16623694140763193,-2.104625434379617,0.2949808656161485,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.14597154231086035,-2.007283419903892,0.34062741237544913,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.17730544575138335,1.5259651001339274,-0.06169189634269066,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16290987771976045,-1.8377685172969986,0.31577998088317355,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.31382365987129507,0.8294240258934547,-0.37844417660059637,0,BitcoinDark
XPY,SHA-256,PoS,11995334.88,12500000.0,-0.2800890839301509,0.6290789609136632,-0.07758688534033632,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.15916038178506622,-1.0887164483164011,0.010788908111764422,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.59,350000000.0,-0.2438909591014229,1.8309127382160673,-0.5892405176911885,0,KoboCoin
SPR,X11,PoW,11149734.0,20000000.0,-0.23647786369027982,-0.9973229955255462,0.01297778875002284,3,Spreadcoin
ARG,Scrypt,PoW,12205795.44,64000000.0,-0.15877714886130503,-1.0887294298323225,0.010785855439811578,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.99,16768584.0,-0.3224890013101911,1.0817994713813524,-0.48842248368581875,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3150721868730041,1.0821211519805232,-0.4885707160395132,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09033449321964261,-1.8355437546979188,0.31878591577514814,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.561185918410787,-1.2340066996169143,-0.0026106248124768447,3,MoonCoin
ZET,SHA-256,PoW,170204389.8,169795588.0,-0.14726489347660723,-1.341053608356,0.12071850077645159,3,ZetaCoin
SXC,Scrypt,PoW,128940951.2,250000000.0,-0.15603431851192476,-1.0887401742307379,0.010751221199332962,3,SexCoin
QTL,Scrypt,PoW,7357794.793,100000000.0,-0.15858127831313404,-1.0887455278147733,0.010785767803048827,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.1,0.0,-0.32132688775650364,1.0818594174298455,-0.48844719470121817,0,EnergyCoin
QRK,Quark,PoW,259557164.9,247000000.0,-0.23254801038778616,-0.4619950945594062,0.024174061612821613,3,QuarkCoin
RIC,Groestl,PoW,49548585.14,84000000.0,-0.20613979008803165,-1.2587514979921826,0.019210506149519052,3,Riecoin
DGC,Scrypt,PoW,33442988.34,48166000.0,-0.15863007445966176,-1.088712589865571,0.010781288131371601,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.4769,500000.0,-0.32282512737897523,1.0817963845916467,-0.48841755411822707,0,BitBar
CAT,Scrypt,PoW,7219956.646,21000000.0,-0.1591426606591284,-1.0887157067572084,0.010788558145038107,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.651,1000000.0,-0.3228094196457965,1.0817967044761863,-0.48841781181605903,0,CryptoBullion
CCN,Scrypt,PoW,4703879.518,13140000.0,-0.15922906250482483,-1.088714018057924,0.010789439042572176,3,CannaCoin
CRYPT,X11,PoW,4996986.206,18000000.0,-0.23656714360461895,-0.9973253818492163,0.01297934187066102,3,CryptCoin
CSC,Scrypt,PoC,39999997300.0,40000000000.0,0.5139567917269109,0.5649413231967724,-0.1912432207686852,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.747,4380000.0,-0.3707180215482259,0.9117630059273941,-0.47998412451114797,0,Diamond
XVG,Multiple,PoW,15929530669.0,16555000000.0,0.18663670646676767,-1.8337759605758837,0.31484462039957734,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.2274190747136221,-1.3394317058873886,0.1155065067940233,3,DevCoin
EAC,Scrypt,PoW,12539015187.0,13500000000.0,0.089336620118203,-1.0874140546288276,0.007296941471995098,3,EarthCoin
EFL,Scrypt,PoW,20910478.81,21000000.0,-0.1589755321998082,-1.0887087130906816,0.010785257598561656,3,E-Gulden
EMC2,Scrypt,PoW,218871896.5,299792458.0,-0.15458370733075774,-1.0887130740295365,0.010727802650444259,3,Einsteinium
EMD,Scrypt,PoW,19496786.31,32000000.0,-0.15891485713079218,-1.0887135973649074,0.010785214513587445,3,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.3682213484247075,1.666142056810349,-0.05090663168480053,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.3,0.0,-0.26550963971738234,0.5060132722397991,-0.18293809781317333,0,FlutterCoin
