Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.33067207912813334,1.0030127752294593,-0.5858929718803808,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.0,532000000.0,-0.3140171403923017,1.0032021369228565,-0.5863717448000901,0,404Coin
1337,X13,PoW/PoS,29279424623.0,314159000000.0,2.295412061978316,1.6603835808178842,-0.7101577525576449,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14683273262917046,-1.2943156590781015,0.2035043864964181,3,Bitcoin
ETH,Ethash,PoW,107684222.7,0.0,-0.15707700466305444,-2.006398428852158,0.41925986782395713,3,Ethereum
LTC,Scrypt,PoW,63039243.3,84000000.0,-0.1640913474463487,-1.1359950990786007,-0.00243599804851314,3,Litecoin
DASH,X11,PoW/PoS,9031294.376,22000000.0,-0.3967190168493545,1.230483523421617,-0.5205425923842926,0,Dash
XMR,CryptoNight-V7,PoW,17201143.14,0.0,-0.14588479243596475,-2.2470292128736182,0.4582395305429918,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.15552049436030949,-2.0064972241096095,0.41923922875075964,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.14442387988949074,-2.0126263200979335,0.38594989195149354,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.18103535470240928,1.230548608644875,0.16373926696452923,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.15098409775443122,-1.8210091223148488,0.36937140341404606,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.31224479329166865,0.8446708563434018,-0.3799790134251379,0,BitcoinDark
XPY,SHA-256,PoS,11995334.88,12500000.0,-0.2731471776046825,0.6744997879707944,-0.08561252785568041,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16523697762241976,-1.1359889328737462,-0.002407036333110902,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.59,350000000.0,-0.23904509995683296,1.8979149736060181,-0.6496750440082861,0,KoboCoin
SPR,X11,PoW,11149734.0,20000000.0,-0.23149137490997818,-0.908508643410252,0.06294684449405887,3,Spreadcoin
ARG,Scrypt,PoW,12205795.44,64000000.0,-0.16485383354860886,-1.1360069340343462,-0.002413424093357644,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.99,16768584.0,-0.33033183593054866,1.0030123553342347,-0.5859018653428657,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.322911401204668,1.003281182026761,-0.5861533469447244,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.10226077819895832,-1.8159585256806794,0.37501042624180675,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5539833211503598,-1.3210191723790479,-0.0358903011205048,3,MoonCoin
ZET,SHA-256,PoW,170204389.8,169795588.0,-0.143919160349119,-1.2943230363552842,0.20342901247121523,3,ZetaCoin
SXC,Scrypt,PoW,128940951.2,250000000.0,-0.1621108732877967,-1.136047252161154,-0.0024774786749924556,3,SexCoin
QTL,Scrypt,PoW,7357794.793,100000000.0,-0.16465809661219544,-1.136026329163559,-0.0024145769970639265,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.1,0.0,-0.32916906618121594,1.0030647576833616,-0.5859433988065058,0,EnergyCoin
QRK,Quark,PoW,259557164.9,247000000.0,-0.2332959261584779,-0.4257766123124148,0.041577171513372715,3,QuarkCoin
RIC,Groestl,PoW,49548585.14,84000000.0,-0.19931934160399334,-1.251620461148794,0.1641920194259077,3,Riecoin
DGC,Scrypt,PoW,33442988.34,48166000.0,-0.16470658985519085,-1.1359903333960104,-0.0024207455376480534,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.4769,500000.0,-0.3306680189620446,1.0030125522829842,-0.5858930329105971,0,BitBar
CAT,Scrypt,PoW,7219956.646,21000000.0,-0.16521924809846797,-1.1359883196896603,-0.0024076311684943577,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.651,1000000.0,-0.33065230692991926,1.003012732291357,-0.5858934848610734,0,CryptoBullion
CCN,Scrypt,PoW,4703879.518,13140000.0,-0.1653056414516646,-1.1359855950004751,-0.0024059147192892335,3,CannaCoin
CRYPT,X11,PoW,4996986.206,18000000.0,-0.2315806845542355,-0.9085102786279504,0.06294954009452626,3,CryptCoin
CSC,Scrypt,PoC,39999997300.0,40000000000.0,0.7544428532692659,0.07793568024477085,-0.1871110423141961,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.747,4380000.0,-0.3656639298536606,0.8873923969414326,-0.41927221843053697,0,Diamond
